57x21
104,65,61,36,119,21,121,29,76,0,94,19,2,118,126,30,62,32,91,79,44
46,125,30,122,18,23,73,96,83,113,115,7,51,38,118,71,48,107,125,121,5
42,3,1,83,121,74,101,57,42,23,27,23,17,120,115,19,125,48,111,67,118
111,37,7,1,127,46,86,126,77,105,104,33,125,7,114,8,96,87,4,117,127
124,53,68,121,96,89,47,79,94,111,41,111,85,88,82,107,116,59,9,114,18
38,117,34,91,65,73,59,117,58,122,7,30,14,8,2,2,58,106,85,39,56
41,85,88,116,27,87,106,0,50,38,77,104,67,122,71,24,74,123,104,101,80
96,125,76,81,114,92,63,82,4,65,96,100,48,7,36,45,9,80,81,49,30
25,93,18,99,49,116,120,5,31,53,113,41,35,35,13,18,75,106,96,9,92
122,81,21,4,16,97,46,92,56,54,93,68,95,115,111,52,94,57,45,119,50
82,103,84,19,35,9,92,65,88,115,36,53,83,62,55,98,85,22,76,63,82
87,70,87,2,30,71,51,52,16,102,69,20,117,65,94,64,57,68,4,96,114
36,123,70,21,12,17,57,36,91,119,33,5,29,87,60,105,92,62,115,109,121
41,32,37,125,112,57,55,20,60,48,70,119,125,81,54,55,21,96,51,28,37
116,33,17,29,62,46,48,98,58,124,122,62,63,81,60,59,75,99,62,113,54
122,97,50,78,95,4,80,28,70,21,85,121,77,58,70,38,66,98,74,53,87
123,74,86,85,48,79,11,61,55,85,20,7,10,23,30,122,126,98,38,19,19
79,110,77,55,19,4,97,116,40,74,126,104,63,21,12,71,40,31,103,93,45
27,41,47,102,110,109,92,27,18,28,24,127,4,110,84,78,16,47,111,4,8
107,4,71,38,124,39,6,73,67,59,24,97,75,41,93,102,80,99,83,118,54
122,126,35,42,127,67,71,92,89,73,92,40,77,42,49,37,1,38,38,127,110
42,9,90,81,122,127,48,82,114,122,93,33,19,42,117,119,4,22,6,75,97
40,127,55,110,47,80,37,2,27,73,45,62,118,124,44,121,3,12,99,65,96
114,7,88,85,102,96,86,5,34,49,83,97,19,71,33,58,23,12,87,64,14
116,74,5,59,115,12,58,111,0,70,29,90,28,35,124,119,63,59,96,98,76
28,87,3,109,46,118,71,100,29,66,15,126,75,47,100,26,71,53,62,41,47
93,20,95,62,115,57,2,114,81,120,48,127,74,67,96,71,21,103,115,14,10
65,105,84,53,57,100,36,67,19,125,94,56,3,27,124,27,19,118,10,105,57
113,26,50,34,5,12,31,94,124,21,92,74,127,11,18,90,3,108,123,68,71
13,119,2,101,11,120,45,111,90,119,16,2,24,64,28,53,107,115,120,30,12
123,42,76,3,78,103,59,6,127,87,91,42,89,8,64,56,111,95,97,35,58
127,124,17,118,77,110,85,13,64,124,112,79,100,71,69,38,102,93,53,84,109
70,116,83,125,51,4,116,4,78,0,89,56,82,65,8,47,28,87,36,79,21
98,20,29,99,11,14,69,61,81,20,69,68,109,69,125,37,46,73,92,49,83
21,69,0,78,22,85,26,63,102,4,94,20,39,33,120,124,88,25,24,104,50
16,91,86,11,103,77,72,76,22,28,89,123,50,54,68,10,8,93,35,43,14
65,24,71,31,81,56,32,66,43,105,112,35,12,34,45,52,58,119,34,16,27
110,121,66,116,0,70,33,100,104,27,87,84,92,101,58,18,56,39,70,121,46
7,48,77,12,54,41,98,4,46,31,59,1,77,69,12,3,90,110,63,123,47
18,77,10,44,82,15,85,0,30,16,100,71,102,103,35,89,81,66,35,97,108
57,97,97,126,24,59,92,103,125,82,38,118,126,32,123,106,91,125,120,8,96
78,90,59,40,81,123,31,78,18,101,59,102,10,33,47,41,48,126,23,39,93
121,73,30,84,114,33,76,115,55,118,37,91,106,13,91,41,108,77,8,74,23
99,94,115,8,39,45,58,81,80,42,51,48,95,103,13,125,119,19,1,75,106
98,123,63,14,127,23,101,38,123,89,96,47,49,109,6,99,66,100,127,73,6
112,121,32,84,94,73,30,99,22,121,123,34,89,103,92,2,10,89,46,51,126
34,12,104,66,45,8,63,60,5,85,22,121,71,31,15,28,73,56,45,59,18
101,61,61,78,15,101,42,82,59,14,70,59,83,93,74,100,71,116,5,93,52
77,106,39,110,18,38,119,28,68,56,27,74,10,97,103,122,49,7,70,87,23
108,73,116,34,19,105,95,24,3,71,62,53,126,41,126,110,72,82,4,17,106
121,12,3,93,125,43,123,76,76,55,7,79,105,55,41,24,76,61,17,29,56
106,67,115,109,63,3,50,94,3,83,60,70,45,100,107,94,98,27,70,65,70
46,125,59,103,22,91,45,41,75,98,103,124,26,122,5,14,56,17,14,97,97
121,5,84,28,83,96,77,116,58,69,120,111,109,62,125,111,71,2,93,0,115
35,37,100,6,105,84,44,12,33,2,12,117,88,38,58,21,14,41,112,78,121
80,109,109,87,73,37,11,72,16,112,89,89,39,8,38,45,61,112,10,126,47
105,58,81,42,41,13,67,24,61,116,56,57,80,114,53,16,95,46,125,102,112
