57x41
31992,7650,24232,41050,794,39727,60526,3197,30464,13064,27192,11386,61435,15645,24692,450,62319,12114,13385,13558,24686,35087,65294,23722,45368,36439,37003,17629,3918,14839,5872,3211,32442,16089,30973,34737,34462,15781,9799,15523,16719
33910,8533,38743,63273,23290,51297,14417,24536,45369,4978,23287,25625,7132,17158,34508,63088,10298,31321,26944,20446,23535,49082,12283,25193,43918,61450,46238,50343,14623,24696,25220,27758,58436,29577,42670,38987,33745,38292,15786,19789,12173
22162,7071,9316,43777,3687,33454,7529,11372,32119,8643,26181,13955,56944,14033,22597,400,20,20994,21457,13772,42885,27506,59684,19223,44073,38452,43685,7917,4504,17920,10727,10267,39648,15979,34294,34054,42039,18348,12541,19378,15397
41065,8719,30920,57937,23507,46049,30163,26782,19489,6881,32328,37297,19364,30290,38607,17408,30239,20695,31462,13910,34597,47689,63061,34594,54871,51776,52448,31388,13472,24479,23524,21031,44078,15553,54807,43349,59287,55043,34427,29368,33073
41597,22540,51529,10209,39630,53051,34224,37904,45170,19760,54061,26819,17303,34951,44306,20311,13584,40560,30875,26102,50107,59152,8929,43300,46317,57985,59263,52615,32762,41342,48757,43511,9946,33393,50651,59730,60931,44511,36977,25260,36572
60220,52266,6974,32340,5005,16439,10122,2019,15887,48096,2600,15045,5630,666,19729,45863,62976,14704,10013,60863,6064,24757,48499,15542,18030,22812,27659,4085,59889,10856,7178,18665,31972,11646,18004,18769,18485,10135,53394,65182,16240
41213,23397,34137,2436,14059,39008,24331,24765,50267,12034,35688,31597,65156,19507,37126,13021,13416,51053,31090,13861,49401,51555,16363,37982,49194,37993,1709,42754,22908,22448,23346,34773,65451,31748,47943,47464,50549,34033,14973,31316,23921
16310,63588,27696,38330,3160,32911,17748,8421,27894,2621,12654,26203,7920,10794,31038,63493,2752,25804,18118,4132,20664,47109,62523,24161,40571,30023,41292,20202,1341,13048,2904,22120,37733,20731,31457,23917,33644,16263,2929,12067,20078
17105,5491,11615,34149,60191,13587,11532,63446,24855,50575,5387,21686,54793,7471,17194,54304,62472,27185,18968,59935,17955,21869,57600,17821,38893,17524,35529,7983,59115,64906,65280,16471,32232,5618,30251,19813,26082,6932,51634,11779,5290
40838,10990,32967,54793,27790,42829,19312,23809,28246,9313,30265,24346,226,20975,32324,9936,6922,20614,18392,11625,35766,46246,4225,35860,43919,42311,47285,31206,16995,19678,19132,15462,54816,11193,42274,47012,40559,44980,30593,22664,14403
33040,19864,30180,53051,23868,33497,16430,11419,23249,751,31557,22744,10173,17340,32887,10463,6610,20075,10945,8813,27053,33510,60758,21712,34306,31000,45565,29061,12066,11777,23280,18000,51460,12809,37912,30904,28392,24974,12865,17499,22484
35293,10465,20710,42255,16479,29348,17709,10508,12141,62148,23793,18546,4674,3461,21695,14771,7594,20468,6111,697,26477,30023,62463,21088,33327,20193,43841,28074,11626,6421,5676,13200,34891,7775,37350,27718,36752,33660,15326,18327,12490
29339,21328,19950,54950,27037,38631,18566,11775,29539,3009,29626,23371,7469,11728,33524,8110,6634,20160,10742,15024,24565,24351,61188,23718,33187,35625,47899,31725,9899,11619,20218,20909,51463,20568,41596,36758,20039,30151,7622,14843,14932
22451,5831,27319,42207,573,21216,12520,11513,30694,64259,16875,11392,57125,6654,11569,4585,1622,27802,17524,60842,28986,35031,59782,16282,30951,24940,45618,24629,5629,15955,6314,28812,43974,16309,26777,17486,39657,14332,9032,14790,16189
32019,9642,31165,51942,24362,44396,17010,23881,24060,5784,27485,24821,5207,25434,33253,8169,13298,21820,24535,6100,22151,45313,62124,32499,41774,52354,45798,29380,11532,24208,24536,16243,46408,20135,41241,40849,42232,37816,22300,14339,24846
38682,9920,34916,55689,7853,39841,21317,18934,31776,13007,30131,30705,4031,25239,30906,14229,11999,28394,29015,10886,35865,47618,64144,35919,49252,38774,47961,33071,17935,22182,16074,24812,50443,25015,46387,36826,43218,29341,16757,19492,24257
15511,584,21795,29700,12444,31140,12170,3440,12908,58379,20243,1456,2317,9295,13674,65157,47399,13384,5775,4799,13461,24816,48062,21941,19492,24257,15221,21671,11746,18379,10299,16006,31898,9846,23700,27243,20515,6126,60156,61377,4770
22570,9511,33124,47531,12716,30582,10370,15843,22046,62224,15832,24653,912,21732,36347,65270,4688,19249,16014,2442,16169,39305,716,16348,31966,35095,34983,24524,3184,5275,19112,8219,39621,9441,30444,22642,23242,21045,9418,11252,14126
7359,64965,11556,31951,56512,17288,64628,60950,34616,3197,12838,5083,46393,763,12472,55703,47325,24175,4695,63996,25411,32363,54366,6546,28482,16488,39264,5101,58634,7640,61991,11709,38023,8777,9630,11806,23686,59582,61510,8005,12829
24792,9329,26019,45724,16335,48586,23784,21788,28245,17989,31634,16219,6525,20520,31428,18171,11013,20301,18569,15212,36843,46800,58431,23505,33320,43628,47255,36039,14413,28041,16289,21910,47125,26414,39303,34529,39275,30896,26186,15917,21951
25953,9763,33451,52971,25296,41601,23613,18437,32541,5862,26317,30761,14957,22984,44956,5900,21275,15165,18059,10792,24379,41330,118,31392,47396,40336,52525,26683,3991,21041,18298,27982,42918,25425,47753,42112,41725,41049,26654,23090,30959
