10000
20549,7007,6678
-18812,-1402,22775
-2352,-292,32557
-15305,-21954,-24515
-25812,14596,5897
5534,6051,9522
-24667,-27429,6442
24020,17503,-25904
-15696,-12612,4270
-5143,19633,-15103
-16824,5739,-28548
-15012,-12730,12051
-11167,-10249,24392
-20755,-23771,-29190
15899,-2170,20727
24916,-23596,-28019
19694,10819,15109
10102,4901,21736
-16972,23501,-10050
-25250,-32530,9675
23056,32174,-25164
-3490,10055,-13631
-11800,31319,5090
-25557,17116,-24621
25426,-9157,-9922
-31660,-31920,22824
-6469,23095,15821
-20740,-25388,21208
9127,16907,6576
-6014,9077,32285
2027,-24337,-30821
-9124,13795,4935
9939,-10691,-30955
28298,1581,6251
-26353,-15782,-26155
8990,-10233,-17202
-24227,10720,15649
5149,-11077,-20188
5802,24692,-12894
30850,18127,30032
9959,-28796,-21267
-18782,-30232,-22591
6570,-18509,-14682
-2777,-27579,-27564
1168,-30873,24304
26389,-15268,-5851
-10844,-19395,25055
-12685,280,9378
-7884,9451,11152
22922,-24522,1214
29679,-23708,-23093
-14901,-1806,-14705
2570,-20347,30116
-16252,32644,-22327
-24650,3580,28965
-31179,-15829,-25979
9776,3431,-9516
-5584,-24587,32389
-5562,7437,28976
7517,-31532,-1081
-12033,2358,13428
-17375,-5114,-8108
-5763,-29,-4780
-26193,-7814,13419
32563,20872,-30875
32539,32574,468
-31872,-9052,30947
-12044,-12576,-13662
13307,-999,-15883
-2806,-22341,9035
-21777,10844,-27147
29397,-10094,6249
25171,-19290,7529
-12048,-1764,-18230
-19758,-7785,18382
-26513,-30076,-32150
1972,-14739,-15280
9145,4529,2386
-2737,24314,-4404
21523,1872,-8384
-1422,-22246,-6816
19351,-3905,26361
13008,-1652,-24443
-25105,-11538,-12637
23350,27575,16740
32379,28148,-6615
-7077,-5024,-12646
16314,17666,24860
23853,5879,-23330
26191,-8624,-12433
26317,-13941,31997
-12691,29060,9191
9057,-32547,12331
-25964,20579,-12238
-14652,-9140,-7808
8635,-29571,-22871
17067,-23426,27110
-29186,-17317,11979
-126,-25942,-124
-9821,2704,17777
32124,-402,-22279
-12708,-22066,-31282
14354,8908,-31110
-32208,-29744,-29376
-25298,31450,-7805
2414,26989,-10491
2873,28203,31088
24512,-12043,6767
5111,-945,24672
-24628,-1075,-19953
-21253,3007,-2362
-26889,-6291,12349
29772,-29469,-12388
32068,-12418,-3630
-3360,-18647,7933
-12249,25175,15649
11142,-29052,-23334
-5884,24228,340
-26734,30986,-3792
30147,29739,7723
18934,-14308,-3551
-12695,12531,-27674
21792,32294,-17014
-27645,10031,-6010
12203,21769,27645
1905,-5111,22272
12401,26685,26979
19132,8663,-30057
710,10863,15399
14460,7923,-5394
31913,-8481,-26791
21161,15626,3329
-9908,-6777,-13797
11747,6231,3473
-22293,-674,9253
23641,-5338,-16435
-1334,-19686,-26932
-10437,-2739,-18853
30098,-5809,-9075
31394,-20546,30027
-21359,-14292,-1208
-7483,31938,-20146
16673,3555,21159
-22738,-16934,1899
-19879,-5042,-5834
23437,4669,21967
11518,10449,-198
3196,27435,3473
6491,7061,8240
-324,-30043,-13667
11586,-5920,-1236
23562,14459,-3540
3155,12490,-4748
-21536,-31162,4385
-17483,-17221,-5489
16526,-28017,-4461
-1930,18747,-19347
12241,2886,5912
-20641,-17945,16487
22727,16580,12961
-23328,-18590,8325
29153,-7719,24593
24620,-19647,-31442
-30572,-29572,27445
22542,22123,-12186
23746,6248,-23350
-20344,-7065,-27095
-22716,27005,32270
16781,-31522,23532
730,-1164,31509
20074,-8726,-26183
-24134,-25861,29257
-13593,11970,3697
7236,397,-8234
15525,-28834,11138
-31820,23148,-12497
-16604,-14660,1425
-26816,22173,-4480
23806,1913,-20905
-23985,-23053,-32097
-18626,20330,16909
-6222,21822,21739
-27883,13330,-1099
23318,2839,18860
-30602,-13376,10034
-7290,-25361,23340
-32332,-21488,22268
-3257,-17369,-15165
-29253,-27261,11402
-15258,-5004,28605
7261,15523,25492
5195,-4422,32764
107,11470,9168
30284,16546,-32361
31442,14219,3802
-15441,-14839,26308
-9566,-31267,17457
-17892,-16428,28764
-14017,32745,30213
27686,32243,-29264
-16614,15267,13705
18105,-10755,14527
22298,-1308,19247
-859,27886,-21508
-2839,17261,13090
-18341,13776,29112
10344,-20319,15926
4096,7198,-7798
-26803,-31906,-7773
6112,30179,28462
11580,-18699,31338
-3959,32382,12302
-31727,-30810,-25435
19122,-31183,-24898
8249,444,-23924
-27835,-16763,-28174
31444,977,-11696
-1100,17964,-26486
32520,9522,31450
-6947,-6332,-21965
15738,12830,-18391
28295,-2825,-22997
-27687,-4234,-1844
-29435,-3455,-18407
17618,-25860,20135
18923,-19367,31132
-2125,612,-12790
24654,-16766,-18664
-7039,-27125,-18192
2996,26960,14008
28952,18472,-6774
15205,-17668,-5379
24468,-10796,-9080
19143,-20732,1713
-24564,22666,-10650
-27493,-1462,-31754
5146,16304,2364
-20220,22187,-14687
7543,8676,-3196
-3883,4152,-22735
-15358,-22450,2609
-15797,122,-6889
8434,-5698,13986
-25657,-15293,29676
-25464,8589,24740
531,-8458,-30382
-20761,-3590,17519
-4256,-6073,29391
-4893,-17751,-20767
-6928,-17078,-6818
-12028,-14317,25407
15950,-29720,-23639
-29071,-6494,-22163
24277,-1851,10240
28593,26181,24930
22890,-31119,32087
1609,-19587,31946
-9238,22231,10587
-11083,1542,-29783
25840,-20219,-6188
-30749,-16921,-20342
-29015,-22779,16018
-8822,14198,19114
-29598,-12132,-27731
3619,7453,9212
10056,24865,7642
-26517,-6592,-4435
4758,1747,-20485
15362,-10184,-19894
21063,-32035,13493
10408,-13702,-10118
-22989,-6662,-10875
-15228,-7342,29658
30274,-4207,31557
-22340,24742,29379
-28895,-11580,-31550
13698,32013,-25928
9477,24136,-20321
-8882,5075,27473
31096,13625,-28332
-3421,2985,2843
7979,142,-9253
5002,-12173,9631
-11616,25663,-591
12346,-25528,3387
-6825,13794,-26221
15990,4376,-22846
-6991,31824,-5521
17087,-12562,6439
-11484,15639,29249
-3189,-29464,-979
-29815,-2914,12016
5767,8291,-19447
-1185,-9666,18799
20707,6078,-9637
14888,27128,30739
-4669,905,-20258
-12945,-9074,-29775
27599,-6491,-1976
-17260,26120,467
-4283,-5553,-3231
-16410,30915,26073
31947,22114,245
20127,9265,29441
20375,18839,3753
-16013,24666,10428
2716,4072,-21270
-11552,18192,15077
5495,-24427,7640
12631,-9280,1842
-7101,-11535,14652
-9144,231,26601
-16553,-18883,-15257
-12561,-9930,-18958
-20610,8601,-13601
14225,-893,9816
-27287,2738,-30300
-1858,-6880,-7022
29552,26225,3167
3972,-23430,26978
5719,2556,31785
21465,-13718,13464
-23738,17972,24901
1120,23923,-3194
-1907,10861,28536
-5173,23755,-15726
-27590,-30236,23129
-8495,10153,9130
9702,19396,-27562
-4985,19971,13268
14846,-29432,-27742
-21757,15099,7032
-23875,-7664,-29271
-8367,5211,13261
-23630,-24845,21350
28198,-16707,11357
22601,-20715,3690
27795,-23127,8780
-31079,-26405,15092
-26995,-26907,7883
-17892,-14025,-9511
-4913,-10898,-18632
10362,-31360,-20451
10347,-23527,25829
20408,13881,-4446
-10988,3424,-15087
20234,9999,28453
24116,13145,10361
-27094,-22445,-25109
10244,-7942,16762
-27486,-3485,6101
28649,-26459,17106
-11692,10300,-15326
9325,-26460,-27669
-12110,7277,12060
15180,8430,30384
7656,1921,1602
31021,-8768,-7292
-8777,-20258,6557
18042,6987,15638
-29455,-16995,-8440
-21021,10409,-17737
8252,30500,31359
5840,-25289,-8780
-18898,-4253,-8214
362,24276,-9631
30947,6856,-18660
-3798,-17077,-17169
-3753,8456,-7013
-14513,-17877,26824
-22709,30608,-17164
-8337,-14371,17854
28913,14064,-7900
20753,31729,-26882
-29057,-30523,-5824
3492,6942,23727
-20966,9697,7610
27988,-13422,-27886
-21170,-10581,27894
-9242,-5009,28095
27172,22422,26804
-11402,220,-8426
-26135,3002,-15574
-22968,-27745,22795
25735,-1055,596
-1347,-11046,9936
-2811,2417,3371
27165,31276,-20908
-24240,12833,15765
26669,4718,30567
26787,4597,-21890
4794,27445,-7388
-4187,12266,25582
12841,7003,-25132
-22355,3807,-29532
-30476,22067,27113
29022,4060,6893
19366,3326,14226
-4815,-28285,14819
30346,39,31652
5521,-13551,-5534
-27701,31001,-15760
-22081,14038,-23513
3937,29485,-24553
22274,1618,-13582
-18251,31155,29047
-19849,15838,10351
14810,11656,-30469
-13871,27153,31855
32481,-5681,3844
-19823,15111,-26267
-15229,5681,21379
-23054,-6475,1677
10495,29157,-25291
2182,-20448,23882
-11992,-4154,27493
-2819,20673,4208
10106,29201,7380
25290,20132,-15446
-27138,-1929,-6036
-8639,-18276,-10664
-7866,23127,4274
-10338,-3035,32300
-16586,-5388,-24566
-32015,31129,-29630
9840,6350,26734
-23148,12338,1697
20333,15223,25510
-11454,31366,-19916
-27733,22571,5492
22846,-14404,-8555
28690,32389,-1346
17241,-20404,10446
-15008,7073,25810
4711,25858,2950
26644,-26663,11084
-16097,24616,-1689
-12255,146,25067
-3211,-15052,-5018
4796,-19787,8408
8851,23234,-14696
-14601,-31658,-1948
2452,8943,23945
-2974,29963,-19781
29960,-5178,-24481
